ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
1613,10,Diaper,2025-06-03 19:50:19.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1612,10,Feed,2025-06-03 19:30:55.000,NULL,NULL,Formula,Bottle,125ml,NULL
1611,10,Sleep,2025-06-03 17:47:06.000,2025-06-03 18:49:45.000,62,NULL,NULL,NULL,NULL
1610,10,Diaper,2025-06-03 17:20:48.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Big",NULL
1609,10,Pump,2025-06-03 16:54:28.000,2025-06-03 17:14:28.000,20,60ml,NULL,60ml,NULL
1608,10,Feed,2025-06-03 16:54:07.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1607,10,Diaper,2025-06-03 15:25:52.000,NULL,NULL,NULL,NULL,pee:Big,NULL
1606,10,Sleep,2025-06-03 14:40:17.000,2025-06-03 15:16:08.000,35,NULL,NULL,NULL,NULL
1605,10,Pump,2025-06-03 13:50:48.000,2025-06-03 14:10:48.000,20,60ml,NULL,60ml,NULL
1604,10,Feed,2025-06-03 13:50:39.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1603,10,Sleep,2025-06-03 11:55:53.000,2025-06-03 13:45:26.000,109,NULL,NULL,NULL,NULL
1602,10,Sleep,2025-06-03 11:02:10.000,2025-06-03 11:30:33.000,28,NULL,NULL,NULL,NULL
1601,10,Pump,2025-06-03 10:21:40.000,2025-06-03 10:41:40.000,20,60ml,NULL,60ml,NULL
1600,10,Feed,2025-06-03 10:41:26.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1599,10,Diaper,2025-06-03 10:16:31.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Big",NULL
1598,10,Diaper,2025-06-03 09:55:47.000,NULL,NULL,NULL,NULL,"Both, pee:medium poo:medium",NULL
1597,10,Sleep,2025-06-03 08:05:29.000,2025-06-03 09:50:31.000,105,NULL,NULL,NULL,NULL
1596,10,Diaper,2025-06-03 08:00:16.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1595,10,Feed,2025-06-03 07:36:58.000,NULL,NULL,Formula,Bottle,125ml,NULL
1594,10,Sleep,2025-06-03 05:17:34.000,2025-06-03 07:29:33.000,131,NULL,NULL,NULL,NULL
1593,10,Diaper,2025-06-03 04:40:57.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1592,10,Pump,2025-06-03 04:17:30.000,2025-06-03 04:37:30.000,20,60ml,NULL,60ml,NULL
1591,10,Feed,2025-06-03 04:17:07.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1590,10,Sleep,2025-06-03 00:08:31.000,2025-06-03 04:16:43.000,248,NULL,NULL,NULL,NULL
1589,10,Sleep,2025-06-02 19:59:06.000,2025-06-02 23:45:40.000,226,NULL,NULL,NULL,NULL
1588,10,Feed,2025-06-02 23:50:08.000,NULL,NULL,Breast Milk,Bottle,125ml,NULL
1587,10,Diaper,2025-06-03 00:07:04.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1586,10,Pump,2025-06-02 21:10:23.000,2025-06-02 21:21:23.000,11,62ml,NULL,76ml,NULL
1585,10,Feed,2025-06-02 19:00:34.000,NULL,NULL,Formula,Bottle,135ml,NULL
1584,10,Diaper,2025-06-02 18:15:15.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1583,10,Sleep,2025-06-02 16:57:58.000,2025-06-02 17:54:25.000,56,NULL,NULL,NULL,NULL
1582,10,Diaper,2025-06-02 16:20:20.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Big",NULL
1581,10,Pump,2025-06-02 15:45:54.000,2025-06-02 16:05:54.000,20,60ml,NULL,60ml,NULL
1580,10,Feed,2025-06-02 15:45:42.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1579,10,Diaper,2025-06-02 15:27:52.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1578,10,Sleep,2025-06-02 14:10:55.000,2025-06-02 15:15:59.000,65,NULL,NULL,NULL,NULL
1577,10,Sleep,2025-06-02 13:16:14.000,2025-06-02 13:51:17.000,35,NULL,NULL,NULL,NULL
1576,10,Pump,2025-06-02 12:50:58.000,2025-06-02 13:05:58.000,15,60ml,NULL,60ml,NULL
1575,10,Feed,2025-06-02 12:50:40.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1574,10,Sleep,2025-06-02 11:40:13.000,2025-06-02 12:30:03.000,49,NULL,NULL,NULL,NULL
1573,10,Diaper,2025-06-02 12:40:57.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1572,10,Diaper,2025-06-02 10:05:00.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Big",NULL
1571,10,Diaper,2025-06-02 10:49:46.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Medium",NULL
1570,10,Pump,2025-06-02 09:45:33.000,2025-06-02 10:05:33.000,20,60ml,NULL,60ml,NULL
1569,10,Feed,2025-06-02 09:45:17.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1568,10,Sleep,2025-06-02 06:31:42.000,2025-06-02 09:43:09.000,191,NULL,NULL,NULL,NULL
1567,10,Diaper,2025-06-02 06:34:00.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Medium",NULL
1566,10,Feed,2025-06-02 06:00:17.000,NULL,NULL,Formula,Bottle,130ml,NULL
1565,10,Diaper,2025-06-02 05:55:04.000,NULL,NULL,NULL,NULL,pee:Big,NULL
1564,10,Sleep,2025-06-02 02:38:45.000,2025-06-02 05:48:15.000,189,NULL,NULL,NULL,NULL
1563,10,Pump,2025-06-02 02:21:08.000,2025-06-02 02:36:08.000,15,60ml,NULL,60ml,NULL
1562,10,Feed,2025-06-02 02:21:47.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1561,10,Diaper,2025-06-02 02:20:18.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1560,10,Sleep,2025-06-01 23:55:20.000,2025-06-02 02:13:44.000,138,NULL,NULL,NULL,NULL
1559,10,Sleep,2025-06-01 20:59:50.000,2025-06-01 23:28:03.000,148,NULL,NULL,NULL,NULL
1558,10,Pump,2025-06-01 23:30:33.000,2025-06-01 23:50:33.000,20,60ml,NULL,60ml,NULL
1557,10,Feed,2025-06-01 23:30:18.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1556,10,Feed,2025-06-01 20:20:32.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1555,10,Diaper,2025-06-01 20:55:53.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1554,10,Pump,2025-06-01 19:42:18.000,2025-06-01 19:53:18.000,11,50ml,NULL,75ml,NULL
1553,10,Diaper,2025-06-01 17:51:25.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Medium",NULL
1552,10,Feed,2025-06-01 17:15:16.000,NULL,NULL,Formula,Bottle,120ml,NULL
1551,10,Diaper,2025-06-01 17:38:12.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1550,10,Sleep,2025-06-01 15:27:56.000,2025-06-01 16:45:48.000,77,NULL,NULL,NULL,NULL
1549,10,Diaper,2025-06-01 14:40:22.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Medium",NULL
1548,10,Sleep,2025-06-01 13:50:32.000,2025-06-01 14:30:29.000,39,NULL,NULL,NULL,NULL
1547,10,Pump,2025-06-01 13:14:56.000,2025-06-01 13:34:56.000,20,60ml,NULL,60ml,NULL
1546,10,Feed,2025-06-01 13:14:38.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1545,10,Diaper,2025-06-01 13:09:10.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Small",NULL
1544,10,Sleep,2025-06-01 12:00:37.000,2025-06-01 12:42:22.000,41,NULL,NULL,NULL,NULL
1543,10,Sleep,2025-06-01 10:28:07.000,2025-06-01 10:48:19.000,20,NULL,NULL,NULL,NULL
1542,10,Pump,2025-06-01 09:38:41.000,2025-06-01 09:58:41.000,20,60ml,NULL,60ml,NULL
1541,10,Feed,2025-06-01 09:38:27.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1540,10,Diaper,2025-06-01 08:57:47.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Big",NULL
1539,10,Sleep,2025-06-01 07:20:25.000,2025-06-01 08:41:10.000,80,NULL,NULL,NULL,NULL
1538,10,Diaper,2025-06-01 06:50:45.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1537,10,Feed,2025-06-01 06:30:18.000,NULL,NULL,Formula,Bottle,125ml,NULL
1536,10,Sleep,2025-06-01 03:49:24.000,2025-06-01 06:27:04.000,157,NULL,NULL,NULL,NULL
1535,10,Pump,2025-06-01 03:27:56.000,2025-06-01 03:42:56.000,15,60ml,NULL,60ml,NULL
1534,10,Feed,2025-06-01 03:27:40.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1533,10,Diaper,2025-06-01 03:45:33.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1532,10,Sleep,2025-06-01 00:45:11.000,2025-06-01 03:20:23.000,155,NULL,NULL,NULL,NULL
1531,10,Diaper,2025-06-01 00:37:27.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1530,10,Pump,2025-06-01 00:21:51.000,2025-06-01 00:41:51.000,20,60ml,NULL,60ml,NULL
1529,10,Feed,2025-06-01 00:21:37.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1528,10,Sleep,2025-05-31 22:52:19.000,2025-06-01 00:20:41.000,88,NULL,NULL,NULL,NULL
1527,10,Pump,2025-05-31 20:55:16.000,2025-05-31 21:15:16.000,20,60ml,NULL,60ml,NULL
1526,10,Feed,2025-05-31 20:55:07.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1525,10,Diaper,2025-05-31 21:38:58.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Small",NULL
1524,10,Sleep,2025-05-31 18:02:35.000,2025-05-31 20:52:51.000,170,NULL,NULL,NULL,NULL
1523,10,Feed,2025-05-31 17:21:57.000,NULL,NULL,Formula,Bottle,120ml,NULL
1521,10,Diaper,2025-05-31 16:16:14.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Small",NULL
1520,10,Diaper,2025-05-31 14:36:35.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Small",NULL
1519,10,Diaper,2025-05-31 14:57:29.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Big",NULL
1518,10,Pump,2025-05-31 14:04:06.000,2025-05-31 14:24:06.000,20,60ml,NULL,60ml,NULL
1517,10,Sleep,2025-05-31 12:20:17.000,2025-05-31 14:03:20.000,103,NULL,NULL,NULL,NULL
1516,10,Feed,2025-05-31 14:04:35.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1515,10,Sleep,2025-05-31 10:42:54.000,2025-05-31 12:09:21.000,86,NULL,NULL,NULL,NULL
1514,10,Pump,2025-05-31 10:21:20.000,2025-05-31 10:41:20.000,20,60ml,NULL,60ml,NULL
1513,10,Feed,2025-05-31 10:21:04.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1512,10,Sleep,2025-05-31 09:40:25.000,2025-05-31 10:20:27.000,40,NULL,NULL,NULL,NULL
1511,10,Diaper,2025-05-31 09:06:27.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1510,10,Sleep,2025-05-31 08:00:55.000,2025-05-31 08:40:57.000,40,NULL,NULL,NULL,NULL
1509,10,Diaper,2025-05-31 07:34:33.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Medium",NULL
1508,10,Feed,2025-05-31 07:00:30.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1507,10,Pump,2025-05-31 07:00:11.000,2025-05-31 07:20:11.000,20,60ml,NULL,60ml,NULL
1506,10,Sleep,2025-05-31 05:09:37.000,2025-05-31 06:50:38.000,101,NULL,NULL,NULL,NULL
1505,10,Diaper,2025-05-31 04:00:01.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1504,10,Feed,2025-05-31 03:40:44.000,NULL,NULL,Breast Milk,Bottle,115ml,NULL
1503,10,Sleep,2025-05-30 22:05:54.000,2025-05-31 03:40:39.000,334,NULL,NULL,NULL,NULL
1502,10,Pump,2025-05-31 02:12:59.000,2025-05-31 02:27:59.000,15,44ml,NULL,74ml,NULL
1501,10,Diaper,2025-05-30 22:00:26.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1500,10,Sleep,2025-05-30 19:18:08.000,2025-05-30 21:38:23.000,140,NULL,NULL,NULL,NULL
1499,10,Feed,2025-05-30 21:40:45.000,NULL,NULL,Breast Milk,Bottle,110ml,NULL
1498,10,Pump,2025-05-30 20:30:39.000,2025-05-30 20:45:39.000,15,45ml,NULL,70ml,NULL
1497,10,Diaper,2025-05-30 18:55:24.000,NULL,NULL,NULL,NULL,pee:Small,NULL
1496,10,Feed,2025-05-30 18:18:53.000,NULL,NULL,Formula,Bottle,135ml,NULL
1495,10,Diaper,2025-05-30 18:00:37.000,NULL,NULL,NULL,NULL,poo:Big,NULL
